Date,Close
2013-01,1536995
2013-02,1190379
2013-03,1600246
2013-04,1707668
2013-05,1991978
2013-06,2295489
2013-07,2118961
2013-08,1815136
2013-09,1838383
2013-10,1916115
2013-11,1795190
2013-12,817206
2014-01,1367370
2014-02,993457
2014-03,1623549
2014-04,1446080
2014-05,2033589
2014-06,1924239
2014-07,1877409
2014-08,1667265
2014-09,2406972
2014-10,2421012
2014-11,2417228
2014-12,1228417
2015-01,1345992
2015-02,1448562
2015-03,2088331
2015-04,1914692
2015-05,2342579
2015-06,2112615
2015-07,2785340
2015-08,2219535
2015-09,2410096
2015-10,2105752
2015-11,1744593
2015-12,1365804
2016-01,1273777
2016-02,1453587
2016-03,2016269
2016-04,1968297
2016-05,2278259
2016-06,2418786
2016-07,2305780
2016-08,2777898
2016-09,2833224
2016-10,2283251
2016-11,2147836
2016-12,2264860
2017-01,1536937
2017-02,2069326
2017-03,1711437
2017-04,1993870
2017-05,2593397
2017-06,2248314
2017-07,3411497
2017-08,3283335
2017-09,2375154
2017-10,2457593
2017-11,2050914
2017-12,2150185
2018-01,2031581
2018-02,1487887
2018-03,2038467
2018-04,2517200
2018-05,2732336
2018-06,3037594
2018-07,3043480
2018-08,2825209
2018-09,2308477
2018-10,2390857
2018-11,1953110
2018-12,2411396
2019-01,2331131
2019-02,1790297
2019-03,1862448
2019-04,2540243
2019-05,3281087
2019-06,2332942
2019-07,2433483
2019-08,1957273
2019-09,2537388
2019-10,2388410
2019-11,2165098
2019-12,2113358
2020-01,2011013
2020-02,1979610
2020-03,2554860
2020-04,2477986
2020-05,2639587
2020-06,3111998
2020-07,3058880
2020-08,2777357
2020-09,3263937
2020-10,2528650
2020-11,2753351
2020-12,2211948
