Date,Close
2013-01,8524460
2013-02,7397302
2013-03,7576747
2013-04,7273531
2013-05,6887380
2013-06,6789866
2013-07,7065491
2013-08,5902474
2013-09,5836040
2013-10,7068511
2013-11,7733895
2013-12,7832356
2014-01,8185239
2014-02,7189623
2014-03,8115836
2014-04,7250189
2014-05,6914227
2014-06,5785722
2014-07,6191876
2014-08,5948995
2014-09,6217957
2014-10,8433231
2014-11,8053562
2014-12,8924281
2015-01,7851510
2015-02,7739418
2015-03,8527396
2015-04,5893511
2015-05,6682510
2015-06,6372880
2015-07,7530238
2015-08,7237198
2015-09,7404237
2015-10,8321223
2015-11,8144136
2015-12,8505825
2016-01,9219029
2016-02,8468761
2016-03,9074564
2016-04,8311656
2016-05,7611817
2016-06,6590038
2016-07,7155391
2016-08,6232680
2016-09,5256187
2016-10,8077771
2016-11,8726731
2016-12,8616848
2017-01,9885432
2017-02,8728626
2017-03,9339350
2017-04,9085954
2017-05,8255610
2017-06,7452920
2017-07,8883346
2017-08,8903360
2017-09,8160707
2017-10,9279737
2017-11,9343377
2017-12,9338608
2018-01,9025081
2018-02,7950058
2018-03,8378470
2018-04,8013140
2018-05,7433611
2018-06,7150001
2018-07,8251531
2018-08,7887214
2018-09,6911272
2018-10,8270321
2018-11,8072520
2018-12,8368713
2019-01,9074969
2019-02,8009823
2019-03,8666572
2019-04,8101420
2019-05,7843063
2019-06,7518203
2019-07,7606390
2019-08,6658220
2019-09,4653317
2019-10,7348573
2019-11,7728195
2019-12,8144187
2020-01,9115011
2020-02,8370209
2020-03,9022447
2020-04,7640348
2020-05,7112440
2020-06,7427886
2020-07,7202515
2020-08,7000093
2020-09,6782941
2020-10,7062402
2020-11,7345033
2020-12,8124273
