Date,Close
2013-01,138534
2013-02,106912
2013-03,137277
2013-04,134725
2013-05,145654
2013-06,119447
2013-07,107755
2013-08,118027
2013-09,140592
2013-10,122726
2013-11,119742
2013-12,116986
2014-01,127708
2014-02,105184
2014-03,121442
2014-04,139362
2014-05,128987
2014-06,139740
2014-07,92784
2014-08,125801
2014-09,138840
2014-10,138110
2014-11,115420
2014-12,115997
2015-01,113695
2015-02,115173
2015-03,136557
2015-04,126705
2015-05,111005
2015-06,124273
2015-07,107131
2015-08,114741
2015-09,122004
2015-10,109243
2015-11,126029
2015-12,111135
2016-01,120687
2016-02,111515
2016-03,137777
2016-04,152901
2016-05,122092
2016-06,146869
2016-07,93646
2016-08,141018
2016-09,124306
2016-10,113480
2016-11,138800
2016-12,90191
2017-01,127108
2017-02,127677
2017-03,141350
2017-04,95271
2017-05,147007
2017-06,115183
2017-07,106817
2017-08,125822
2017-09,126661
2017-10,121599
2017-11,120602
2017-12,129308
2018-01,120256
2018-02,109853
2018-03,132225
2018-04,129172
2018-05,104582
2018-06,119474
2018-07,112237
2018-08,130434
2018-09,99972
2018-10,131876
2018-11,131811
2018-12,106980
2019-01,135124
2019-02,122398
2019-03,110281
2019-04,147795
2019-05,133434
2019-06,143351
2019-07,97894
2019-08,108625
2019-09,118826
2019-10,127842
2019-11,100889
2019-12,126909
2020-01,115977
2020-02,111892
2020-03,139124
2020-04,117259
2020-05,106727
2020-06,102145
2020-07,91753
2020-08,103054
2020-09,140388
2020-10,122076
2020-11,135190
2020-12,122798
