Date,Close
2013-01,9827
2013-02,12141
2013-03,8852
2013-04,14426
2013-05,15344
2013-06,45554
2013-07,13065
2013-08,15285
2013-09,15749
2013-10,15939
2013-11,12496
2013-12,9086
2014-01,10703
2014-02,10728
2014-03,12927
2014-04,12280
2014-05,11255
2014-06,11681
2014-07,8801
2014-08,11070
2014-09,12948
2014-10,14744
2014-11,12640
2014-12,9493
2015-01,10248
2015-02,11938
2015-03,12250
2015-04,12868
2015-05,11380
2015-06,16048
2015-07,10105
2015-08,12363
2015-09,13601
2015-10,13681
2015-11,12264
2015-12,10281
2016-01,9840
2016-02,11315
2016-03,10492
2016-04,12620
2016-05,9687
2016-06,12620
2016-07,7798
2016-08,10016
2016-09,12585
2016-10,11196
2016-11,11958
2016-12,8388
2017-01,9707
2017-02,10248
2017-03,13576
2017-04,8802
2017-05,10097
2017-06,12626
2017-07,8322
2017-08,9914
2017-09,10714
2017-10,10390
2017-11,10168
2017-12,7620
2018-01,8971
2018-02,9133
2018-03,10391
2018-04,10100
2018-05,13269
2018-06,12104
2018-07,10091
2018-08,10358
2018-09,13450
2018-10,12993
2018-11,11986
2018-12,8077
2019-01,10984
2019-02,11446
2019-03,12643
2019-04,10854
2019-05,12330
2019-06,11627
2019-07,9419
2019-08,12050
2019-09,13796
2019-10,14670
2019-11,11824
2019-12,10245
2020-01,11031
2020-02,11865
2020-03,11204
2020-04,9251
2020-05,9938
2020-06,14164
2020-07,8940
2020-08,9238
2020-09,11291
2020-10,11296
2020-11,12247
2020-12,9116
