Date,Close
2013-01,5489382
2013-02,5825599
2013-03,6314570
2013-04,5443284
2013-05,6221575
2013-06,5997133
2013-07,6712325
2013-08,6347111
2013-09,5041414
2013-10,5607928
2013-11,6302911
2013-12,5957412
2014-01,7000827
2014-02,5749087
2014-03,6086939
2014-04,6215061
2014-05,5577750
2014-06,4955461
2014-07,6069865
2014-08,6064622
2014-09,6178511
2014-10,6730131
2014-11,5589132
2014-12,6563605
2015-01,6333086
2015-02,5777068
2015-03,6908691
2015-04,6024441
2015-05,6125705
2015-06,6528786
2015-07,6261871
2015-08,6530626
2015-09,6071402
2015-10,7061465
2015-11,6030871
2015-12,6382436
2016-01,7056232
2016-02,6601402
2016-03,6248224
2016-04,6628227
2016-05,6198916
2016-06,5531649
2016-07,7337933
2016-08,6996009
2016-09,6002407
2016-10,6551823
2016-11,6870709
2016-12,6792175
2017-01,6983454
2017-02,6463403
2017-03,6847696
2017-04,7090389
2017-05,6737007
2017-06,7089915
2017-07,6125370
2017-08,7410490
2017-09,6228815
2017-10,5998991
2017-11,6107338
2017-12,6404891
2018-01,6638725
2018-02,6081614
2018-03,6916157
2018-04,6431434
2018-05,5808358
2018-06,5654895
2018-07,6225436
2018-08,6492571
2018-09,5813892
2018-10,6869415
2018-11,5657190
2018-12,5798934
2019-01,6723027
2019-02,5479720
2019-03,6084055
2019-04,5972992
2019-05,5667900
2019-06,4444923
2019-07,5861147
2019-08,5887941
2019-09,5659346
2019-10,5819538
2019-11,7763549
2019-12,7791286
2020-01,6664397
2020-02,7624387
2020-03,6920619
2020-04,7386278
2020-05,7251940
2020-06,6275113
2020-07,7469679
2020-08,7169183
2020-09,6391117
2020-10,7829787
2020-11,6970260
2020-12,7507939
