Date,Close
2013-01,41470
2013-02,37676
2013-03,36657
2013-04,48361
2013-05,49606
2013-06,49656
2013-07,49394
2013-08,52278
2013-09,43237
2013-10,58205
2013-11,43760
2013-12,36078
2014-01,44541
2014-02,37607
2014-03,40207
2014-04,42587
2014-05,54678
2014-06,47285
2014-07,52871
2014-08,49555
2014-09,60360
2014-10,49972
2014-11,45978
2014-12,42126
2015-01,43044
2015-02,34835
2015-03,50926
2015-04,46746
2015-05,42623
2015-06,57915
2015-07,55642
2015-08,47244
2015-09,51310
2015-10,59493
2015-11,56301
2015-12,73414
2016-01,41652
2016-02,50123
2016-03,52806
2016-04,73755
2016-05,72361
2016-06,49010
2016-07,48669
2016-08,72130
2016-09,69878
2016-10,52806
2016-11,65569
2016-12,44212
2017-01,70041
2017-02,42774
2017-03,74070
2017-04,46193
2017-05,90969
2017-06,79365
2017-07,81971
2017-08,66025
2017-09,59581
2017-10,61779
2017-11,66316
2017-12,58627
2018-01,53564
2018-02,42274
2018-03,49392
2018-04,48272
2018-05,66018
2018-06,64170
2018-07,56455
2018-08,48806
2018-09,63833
2018-10,66115
2018-11,44327
2018-12,56537
2019-01,48021
2019-02,56583
2019-03,59465
2019-04,50735
2019-05,106489
2019-06,74964
2019-07,82829
2019-08,95734
2019-09,89821
2019-10,70492
2019-11,50420
2019-12,49997
2020-01,82092
2020-02,37072
2020-03,58497
2020-04,49601
2020-05,61608
2020-06,73087
2020-07,63338
2020-08,61279
2020-09,71874
2020-10,40400
2020-11,47888
2020-12,68581
