Date,Close
2013-01,318943
2013-02,327816
2013-03,323262
2013-04,304360
2013-05,265941
2013-06,263297
2013-07,264362
2013-08,258500
2013-09,239833
2013-10,311391
2013-11,256155
2013-12,304284
2014-01,327966
2014-02,315625
2014-03,336528
2014-04,216736
2014-05,271654
2014-06,333125
2014-07,212259
2014-08,261794
2014-09,263581
2014-10,324915
2014-11,229586
2014-12,276518
2015-01,336987
2015-02,324056
2015-03,391956
2015-04,254792
2015-05,268599
2015-06,296828
2015-07,256168
2015-08,281532
2015-09,276926
2015-10,268045
2015-11,252329
2015-12,352749
2016-01,337014
2016-02,368890
2016-03,351096
2016-04,232985
2016-05,304008
2016-06,288467
2016-07,198231
2016-08,331809
2016-09,277196
2016-10,247076
2016-11,304427
2016-12,325464
2017-01,330693
2017-02,333364
2017-03,319071
2017-04,311113
2017-05,297385
2017-06,242354
2017-07,234380
2017-08,297426
2017-09,309402
2017-10,242549
2017-11,302315
2017-12,378018
2018-01,401354
2018-02,426709
2018-03,296875
2018-04,305260
2018-05,374921
2018-06,290896
2018-07,257028
2018-08,328014
2018-09,306080
2018-10,373888
2018-11,307320
2018-12,348640
2019-01,331088
2019-02,410317
2019-03,361044
2019-04,278783
2019-05,301157
2019-06,244197
2019-07,290648
2019-08,282813
2019-09,291101
2019-10,338426
2019-11,262199
2019-12,308954
2020-01,420263
2020-02,260978
2020-03,336508
2020-04,362534
2020-05,278362
2020-06,321336
2020-07,267832
2020-08,294075
2020-09,310564
2020-10,294168
2020-11,317101
2020-12,358305
