Date,Close
2013-01,236028
2013-02,253384
2013-03,258083
2013-04,185653
2013-05,192193
2013-06,184341
2013-07,160231
2013-08,164130
2013-09,220351
2013-10,325349
2013-11,280394
2013-12,221842
2014-01,221763
2014-02,221752
2014-03,283089
2014-04,267412
2014-05,206525
2014-06,202420
2014-07,196181
2014-08,174469
2014-09,272419
2014-10,362257
2014-11,270491
2014-12,244229
2015-01,211114
2015-02,260247
2015-03,280785
2015-04,247203
2015-05,198918
2015-06,220087
2015-07,196393
2015-08,166417
2015-09,254475
2015-10,330379
2015-11,276072
2015-12,211286
2016-01,211671
2016-02,259403
2016-03,277655
2016-04,216478
2016-05,183459
2016-06,196040
2016-07,171109
2016-08,183923
2016-09,254692
2016-10,304792
2016-11,254679
2016-12,192007
2017-01,203676
2017-02,267613
2017-03,338493
2017-04,201373
2017-05,203340
2017-06,216283
2017-07,175696
2017-08,191387
2017-09,222941
2017-10,305709
2017-11,323249
2017-12,237705
2018-01,228988
2018-02,274568
2018-03,334761
2018-04,309840
2018-05,201780
2018-06,222720
2018-07,197350
2018-08,211781
2018-09,198643
2018-10,300224
2018-11,314695
2018-12,212126
2019-01,238511
2019-02,244901
2019-03,285944
2019-04,223241
2019-05,235774
2019-06,203597
2019-07,200818
2019-08,217330
2019-09,242515
2019-10,340396
2019-11,310632
2019-12,227609
2020-01,233376
2020-02,262734
2020-03,280241
2020-04,222308
2020-05,202979
2020-06,254771
2020-07,211467
2020-08,190956
2020-09,238234
2020-10,334324
2020-11,315987
2020-12,274643
