Date,Close
2013-01,12603
2013-02,9378
2013-03,16967
2013-04,13277
2013-05,15970
2013-06,7210
2013-07,20632
2013-08,5549
2013-09,17122
2013-10,12055
2013-11,15699
2013-12,9466
2014-01,14919
2014-02,12588
2014-03,12071
2014-04,17196
2014-05,10917
2014-06,14214
2014-07,11911
2014-08,16373
2014-09,17496
2014-10,15044
2014-11,14371
2014-12,15970
2015-01,15809
2015-02,12638
2015-03,15871
2015-04,13263
2015-05,9945
2015-06,18721
2015-07,16575
2015-08,17399
2015-09,13378
2015-10,18209
2015-11,17739
2015-12,15643
2016-01,16718
2016-02,17111
2016-03,14266
2016-04,14913
2016-05,17097
2016-06,15410
2016-07,13090
2016-08,18579
2016-09,12917
2016-10,19958
2016-11,18669
2016-12,17694
2017-01,12737
2017-02,12066
2017-03,21115
2017-04,13430
2017-05,11930
2017-06,15340
2017-07,13720
2017-08,17033
2017-09,13973
2017-10,18569
2017-11,21354
2017-12,13420
2018-01,17010
2018-02,13823
2018-03,16450
2018-04,14315
2018-05,10225
2018-06,18785
2018-07,20726
2018-08,14432
2018-09,14669
2018-10,16477
2018-11,20998
2018-12,16127
2019-01,15647
2019-02,20045
2019-03,22625
2019-04,14447
2019-05,17818
2019-06,19707
2019-07,17456
2019-08,16583
2019-09,16964
2019-10,22843
2019-11,16024
2019-12,21001
2020-01,21486
2020-02,19594
2020-03,15157
2020-04,24984
2020-05,20559
2020-06,18806
2020-07,21583
2020-08,21495
2020-09,19922
2020-10,23609
2020-11,24863
2020-12,19918
