Date,Close
2013-01,6776
2013-02,7757
2013-03,13078
2013-04,4169
2013-05,14640
2013-06,5566
2013-07,10362
2013-08,10348
2013-09,14164
2013-10,10301
2013-11,10080
2013-12,3752
2014-01,14685
2014-02,4032
2014-03,10028
2014-04,10094
2014-05,9602
2014-06,16237
2014-07,5714
2014-08,16667
2014-09,5588
2014-10,11142
2014-11,15952
2014-12,4851
2015-01,5496
2015-02,9179
2015-03,9340
2015-04,11015
2015-05,10340
2015-06,11506
2015-07,11369
2015-08,11184
2015-09,15818
2015-10,9244
2015-11,12602
2015-12,12670
2016-01,13174
2016-02,13523
2016-03,13052
2016-04,11897
2016-05,12420
2016-06,13885
2016-07,10745
2016-08,12448
2016-09,13609
2016-10,12691
2016-11,11993
2016-12,11266
2017-01,15401
2017-02,7723
2017-03,20173
2017-04,10594
2017-05,13005
2017-06,15063
2017-07,14518
2017-08,14070
2017-09,14420
2017-10,11364
2017-11,12433
2017-12,9084
2018-01,10739
2018-02,14872
2018-03,13711
2018-04,15281
2018-05,15027
2018-06,16197
2018-07,13912
2018-08,16037
2018-09,16117
2018-10,18314
2018-11,16254
2018-12,9497
2019-01,14644
2019-02,9802
2019-03,11442
2019-04,15131
2019-05,17583
2019-06,14647
2019-07,15483
2019-08,14985
2019-09,14998
2019-10,20183
2019-11,16875
2019-12,11092
2020-01,7828
2020-02,16472
2020-03,13145
2020-04,10166
2020-05,9278
2020-06,12129
2020-07,11153
2020-08,10323
2020-09,9173
2020-10,11284
2020-11,9083
2020-12,10785
