Date,Close
2013-01,955390
2013-02,810413
2013-03,864081
2013-04,1022996
2013-05,661814
2013-06,820575
2013-07,852377
2013-08,888450
2013-09,843994
2013-10,844366
2013-11,866856
2013-12,799714
2014-01,921509
2014-02,865591
2014-03,918490
2014-04,900037
2014-05,776866
2014-06,803662
2014-07,869151
2014-08,852474
2014-09,842182
2014-10,887870
2014-11,682856
2014-12,855758
2015-01,857747
2015-02,840346
2015-03,1013640
2015-04,764454
2015-05,845156
2015-06,883993
2015-07,911658
2015-08,847160
2015-09,880951
2015-10,985190
2015-11,826762
2015-12,872198
2016-01,873686
2016-02,881088
2016-03,993512
2016-04,865275
2016-05,791267
2016-06,756073
2016-07,775658
2016-08,778075
2016-09,896953
2016-10,806632
2016-11,762736
2016-12,926542
2017-01,949223
2017-02,750662
2017-03,1006014
2017-04,868097
2017-05,909328
2017-06,834417
2017-07,848326
2017-08,1058966
2017-09,722262
2017-10,974496
2017-11,858451
2017-12,830605
2018-01,880820
2018-02,915386
2018-03,858108
2018-04,901969
2018-05,895066
2018-06,849691
2018-07,882104
2018-08,991045
2018-09,827166
2018-10,979503
2018-11,872817
2018-12,732928
2019-01,1053778
2019-02,757231
2019-03,953943
2019-04,883448
2019-05,920763
2019-06,695363
2019-07,842801
2019-08,902709
2019-09,1004341
2019-10,827736
2019-11,793962
2019-12,839973
2020-01,946137
2020-02,804800
2020-03,847384
2020-04,849124
2020-05,731449
2020-06,790243
2020-07,787577
2020-08,821210
2020-09,785304
2020-10,853174
2020-11,840633
2020-12,750338
