Date,Close
2013-01,2246885
2013-02,1795417
2013-03,2212492
2013-04,2560317
2013-05,2709972
2013-06,2879692
2013-07,2945172
2013-08,2609473
2013-09,2550878
2013-10,3023074
2013-11,2451775
2013-12,1391533
2014-01,2317365
2014-02,1830730
2014-03,2349505
2014-04,2263834
2014-05,2964614
2014-06,2817230
2014-07,2789136
2014-08,2420060
2014-09,3054382
2014-10,3412152
2014-11,3317389
2014-12,2051865
2015-01,2175030
2015-02,2361530
2015-03,3067752
2015-04,2874652
2015-05,3250204
2015-06,3019796
2015-07,3736768
2015-08,3097194
2015-09,3369800
2015-10,2928375
2015-11,2526768
2015-12,2187391
2016-01,1899919
2016-02,2196447
2016-03,2741007
2016-04,2717274
2016-05,2965629
2016-06,3233384
2016-07,2992855
2016-08,3526544
2016-09,3501164
2016-10,2938423
2016-11,2776721
2016-12,3092643
2017-01,2200359
2017-02,2698343
2017-03,2504421
2017-04,2664433
2017-05,3398066
2017-06,3164252
2017-07,3976668
2017-08,3875260
2017-09,3136289
2017-10,3223573
2017-11,2805698
2017-12,2775331
2018-01,2861074
2018-02,2218327
2018-03,2694988
2018-04,3310214
2018-05,3464456
2018-06,3819381
2018-07,3710565
2018-08,3480521
2018-09,2971117
2018-10,3154415
2018-11,2729805
2018-12,3058443
2019-01,3315790
2019-02,2468084
2019-03,2607324
2019-04,3304687
2019-05,4150693
2019-06,3009751
2019-07,3176627
2019-08,2494481
2019-09,3233838
2019-10,3116684
2019-11,3031338
2019-12,2829123
2020-01,2861251
2020-02,2747156
2020-03,3298927
2020-04,3340462
2020-05,3300600
2020-06,3870503
2020-07,3697565
2020-08,3427659
2020-09,4029294
2020-10,3298427
2020-11,3429894
2020-12,2990552
