Date,Close
2013-01,55185
2013-02,51770
2013-03,48788
2013-04,54176
2013-05,56340
2013-06,53843
2013-07,66368
2013-08,60817
2013-09,60128
2013-10,58835
2013-11,65822
2013-12,47147
2014-01,56101
2014-02,56266
2014-03,55653
2014-04,55804
2014-05,55430
2014-06,52932
2014-07,65007
2014-08,52287
2014-09,58567
2014-10,69442
2014-11,54477
2014-12,61372
2015-01,65970
2015-02,50381
2015-03,62039
2015-04,81550
2015-05,56673
2015-06,64263
2015-07,59423
2015-08,48993
2015-09,57215
2015-10,61350
2015-11,51520
2015-12,54118
2016-01,55098
2016-02,51610
2016-03,52656
2016-04,53992
2016-05,47860
2016-06,61046
2016-07,48366
2016-08,53879
2016-09,51230
2016-10,54821
2016-11,53813
2016-12,55656
2017-01,46438
2017-02,50184
2017-03,59932
2017-04,46877
2017-05,54611
2017-06,54293
2017-07,114462
2017-08,50235
2017-09,50115
2017-10,64092
2017-11,58581
2017-12,51797
2018-01,48256
2018-02,55107
2018-03,61445
2018-04,47236
2018-05,54164
2018-06,69957
2018-07,49571
2018-08,65938
2018-09,48332
2018-10,58113
2018-11,58510
2018-12,48014
2019-01,51004
2019-02,59248
2019-03,64981
2019-04,51804
2019-05,52439
2019-06,64534
2019-07,59853
2019-08,48834
2019-09,54100
2019-10,63352
2019-11,54807
2019-12,52491
2020-01,53265
2020-02,50845
2020-03,57329
2020-04,45805
2020-05,47104
2020-06,54487
2020-07,53157
2020-08,52392
2020-09,57191
2020-10,61043
2020-11,58348
2020-12,56260
