Date,Close
2013-01,445324
2013-02,409844
2013-03,430960
2013-04,453525
2013-05,461334
2013-06,452225
2013-07,457418
2013-08,433556
2013-09,465522
2013-10,465422
2013-11,447196
2013-12,394626
2014-01,473702
2014-02,416231
2014-03,435441
2014-04,496177
2014-05,460291
2014-06,458699
2014-07,404833
2014-08,437623
2014-09,481426
2014-10,497160
2014-11,419768
2014-12,385433
2015-01,405234
2015-02,402861
2015-03,459623
2015-04,444206
2015-05,410435
2015-06,465171
2015-07,424733
2015-08,420774
2015-09,456215
2015-10,457609
2015-11,461152
2015-12,392423
2016-01,432302
2016-02,477932
2016-03,486824
2016-04,500726
2016-05,481372
2016-06,502354
2016-07,403409
2016-08,473580
2016-09,478108
2016-10,443763
2016-11,469544
2016-12,368154
2017-01,460975
2017-02,450766
2017-03,553153
2017-04,396068
2017-05,524115
2017-06,481025
2017-07,401608
2017-08,469021
2017-09,488420
2017-10,484673
2017-11,470216
2017-12,421122
2018-01,456619
2018-02,436262
2018-03,432456
2018-04,482828
2018-05,512631
2018-06,503150
2018-07,441661
2018-08,466840
2018-09,443124
2018-10,519194
2018-11,491617
2018-12,382983
2019-01,518008
2019-02,448776
2019-03,464853
2019-04,466369
2019-05,493886
2019-06,465037
2019-07,425118
2019-08,449272
2019-09,461768
2019-10,492842
2019-11,440856
2019-12,401020
2020-01,441772
2020-02,417621
2020-03,499466
2020-04,449145
2020-05,402969
2020-06,429274
2020-07,402202
2020-08,411368
2020-09,514913
2020-10,422387
2020-11,475405
2020-12,451808
