Date,Close
2013-01,9832
2013-02,8355
2013-03,8502
2013-04,9464
2013-05,9013
2013-06,9847
2013-07,7283
2013-08,8679
2013-09,10344
2013-10,10737
2013-11,10092
2013-12,7777
2014-01,10219
2014-02,9175
2014-03,9829
2014-04,9836
2014-05,10415
2014-06,9224
2014-07,7987
2014-08,9347
2014-09,11083
2014-10,11261
2014-11,10482
2014-12,8448
2015-01,9290
2015-02,8971
2015-03,10716
2015-04,8748
2015-05,9209
2015-06,10370
2015-07,8917
2015-08,9347
2015-09,10065
2015-10,9419
2015-11,9831
2015-12,8892
2016-01,9012
2016-02,8922
2016-03,10106
2016-04,10834
2016-05,9329
2016-06,11009
2016-07,7548
2016-08,9395
2016-09,10070
2016-10,9489
2016-11,9828
2016-12,9051
2017-01,9380
2017-02,9323
2017-03,10813
2017-04,8314
2017-05,9945
2017-06,11080
2017-07,7601
2017-08,9964
2017-09,9819
2017-10,10548
2017-11,10465
2017-12,8006
2018-01,9484
2018-02,8787
2018-03,9448
2018-04,10001
2018-05,9000
2018-06,10010
2018-07,7835
2018-08,9267
2018-09,8831
2018-10,10920
2018-11,10595
2018-12,7492
2019-01,9560
2019-02,8588
2019-03,10150
2019-04,8959
2019-05,9849
2019-06,8904
2019-07,8278
2019-08,9207
2019-09,10117
2019-10,10496
2019-11,9756
2019-12,7725
2020-01,9629
2020-02,8399
2020-03,10067
2020-04,7106
2020-05,8085
2020-06,10344
2020-07,8271
2020-08,8519
2020-09,10163
2020-10,10513
2020-11,9969
2020-12,8906
