Date,Close
2013-01,297489
2013-02,294026
2013-03,222406
2013-04,258836
2013-05,276277
2013-06,254065
2013-07,309612
2013-08,339456
2013-09,303255
2013-10,368377
2013-11,321996
2013-12,336285
2014-01,316578
2014-02,308450
2014-03,304109
2014-04,278925
2014-05,334375
2014-06,302542
2014-07,291500
2014-08,260881
2014-09,334395
2014-10,349398
2014-11,325216
2014-12,282876
2015-01,256383
2015-02,256621
2015-03,294492
2015-04,244405
2015-05,294624
2015-06,295279
2015-07,264690
2015-08,285771
2015-09,306241
2015-10,339743
2015-11,332132
2015-12,297808
2016-01,267697
2016-02,264400
2016-03,244013
2016-04,284506
2016-05,294951
2016-06,284909
2016-07,241725
2016-08,320154
2016-09,304414
2016-10,284369
2016-11,299434
2016-12,283763
2017-01,322322
2017-02,225050
2017-03,279078
2017-04,209761
2017-05,289558
2017-06,285697
2017-07,261586
2017-08,291144
2017-09,280016
2017-10,326000
2017-11,342750
2017-12,276251
2018-01,291599
2018-02,254185
2018-03,270870
2018-04,288932
2018-05,301223
2018-06,281485
2018-07,298364
2018-08,351107
2018-09,356932
2018-10,387828
2018-11,493771
2018-12,344541
2019-01,348197
2019-02,332109
2019-03,332006
2019-04,336588
2019-05,386015
2019-06,281185
2019-07,272216
2019-08,304802
2019-09,303810
2019-10,318039
2019-11,295921
2019-12,277602
2020-01,334364
2020-02,240066
2020-03,306992
2020-04,314557
2020-05,289346
2020-06,313384
2020-07,319498
2020-08,280836
2020-09,352213
2020-10,306699
2020-11,346729
2020-12,336878
