Date,Close
2013-01,34818
2013-02,33564
2013-03,10657
2013-04,46169
2013-05,28708
2013-06,36213
2013-07,55574
2013-08,76023
2013-09,73923
2013-10,78149
2013-11,65527
2013-12,28784
2014-01,46784
2014-02,39622
2014-03,36673
2014-04,42383
2014-05,39561
2014-06,51829
2014-07,62138
2014-08,65857
2014-09,75828
2014-10,57592
2014-11,54898
2014-12,33966
2015-01,58866
2015-02,30148
2015-03,41128
2015-04,36270
2015-05,30062
2015-06,57632
2015-07,48207
2015-08,57902
2015-09,68865
2015-10,67676
2015-11,55365
2015-12,54180
2016-01,43479
2016-02,38420
2016-03,43160
2016-04,43000
2016-05,52933
2016-06,57064
2016-07,64619
2016-08,68700
2016-09,72908
2016-10,80965
2016-11,51495
2016-12,63322
2017-01,45423
2017-02,44301
2017-03,49902
2017-04,38794
2017-05,56455
2017-06,62833
2017-07,57819
2017-08,86899
2017-09,63128
2017-10,95599
2017-11,65121
2017-12,49488
2018-01,51378
2018-02,42633
2018-03,41009
2018-04,54969
2018-05,54385
2018-06,49124
2018-07,63122
2018-08,79615
2018-09,78119
2018-10,84853
2018-11,76323
2018-12,56586
2019-01,58963
2019-02,40482
2019-03,41587
2019-04,70533
2019-05,43195
2019-06,60477
2019-07,72596
2019-08,85737
2019-09,81302
2019-10,105299
2019-11,58625
2019-12,63133
2020-01,58191
2020-02,35969
2020-03,53683
2020-04,75207
2020-05,51557
2020-06,72333
2020-07,95647
2020-08,64970
2020-09,102273
2020-10,63373
2020-11,82881
2020-12,79756
