Date,Close
2013-01,18784
2013-02,23985
2013-03,24149
2013-04,23880
2013-05,20526
2013-06,21026
2013-07,22939
2013-08,18248
2013-09,16344
2013-10,18488
2013-11,19237
2013-12,15012
2014-01,16205
2014-02,17425
2014-03,18492
2014-04,20130
2014-05,22200
2014-06,21387
2014-07,24193
2014-08,19282
2014-09,20504
2014-10,22477
2014-11,20586
2014-12,18317
2015-01,14642
2015-02,15599
2015-03,21729
2015-04,20599
2015-05,21205
2015-06,23734
2015-07,22612
2015-08,18450
2015-09,18554
2015-10,21310
2015-11,22892
2015-12,17840
2016-01,15943
2016-02,19926
2016-03,20687
2016-04,23936
2016-05,23786
2016-06,25548
2016-07,24157
2016-08,22012
2016-09,19850
2016-10,18727
2016-11,21105
2016-12,18720
2017-01,18652
2017-02,19615
2017-03,23921
2017-04,21199
2017-05,29476
2017-06,29014
2017-07,29397
2017-08,24986
2017-09,20213
2017-10,22509
2017-11,23239
2017-12,20313
2018-01,20663
2018-02,22695
2018-03,20184
2018-04,25136
2018-05,28620
2018-06,29910
2018-07,27172
2018-08,26233
2018-09,23197
2018-10,24562
2018-11,24472
2018-12,16893
2019-01,21121
2019-02,20366
2019-03,24779
2019-04,26998
2019-05,30660
2019-06,28017
2019-07,27538
2019-08,24543
2019-09,25310
2019-10,29287
2019-11,22522
2019-12,20062
2020-01,22486
2020-02,23584
2020-03,29944
2020-04,26665
2020-05,30844
2020-06,35542
2020-07,43992
2020-08,36647
2020-09,31692
2020-10,34080
2020-11,33240
2020-12,29042
