Date,Close
2013-01,369728
2013-02,305449
2013-03,343527
2013-04,356697
2013-05,339113
2013-06,339674
2013-07,338284
2013-08,324574
2013-09,352950
2013-10,400641
2013-11,315097
2013-12,316740
2014-01,341556
2014-02,310150
2014-03,345751
2014-04,346653
2014-05,407161
2014-06,373810
2014-07,361807
2014-08,308235
2014-09,371405
2014-10,347672
2014-11,346271
2014-12,364639
2015-01,333640
2015-02,308353
2015-03,406250
2015-04,362376
2015-05,306164
2015-06,396919
2015-07,315019
2015-08,361974
2015-09,367125
2015-10,375667
2015-11,342310
2015-12,339879
2016-01,328326
2016-02,345510
2016-03,371627
2016-04,409709
2016-05,408995
2016-06,419363
2016-07,332268
2016-08,413801
2016-09,447095
2016-10,367494
2016-11,422526
2016-12,378026
2017-01,390804
2017-02,360199
2017-03,444182
2017-04,397660
2017-05,545270
2017-06,461945
2017-07,404012
2017-08,511537
2017-09,459557
2017-10,422959
2017-11,442313
2017-12,415299
2018-01,455940
2018-02,389702
2018-03,390274
2018-04,420262
2018-05,506087
2018-06,431400
2018-07,447104
2018-08,426340
2018-09,412842
2018-10,464188
2018-11,410598
2018-12,392344
2019-01,434697
2019-02,392444
2019-03,415731
2019-04,406041
2019-05,537317
2019-06,434093
2019-07,403541
2019-08,481341
2019-09,456194
2019-10,421342
2019-11,371996
2019-12,405813
2020-01,456681
2020-02,441063
2020-03,422324
2020-04,395905
2020-05,417466
2020-06,482513
2020-07,435770
2020-08,408290
2020-09,429173
2020-10,370408
2020-11,419701
2020-12,432345
