Date,Close
2013-01,880556
2013-02,941619
2013-03,726296
2013-04,925629
2013-05,830464
2013-06,797971
2013-07,867151
2013-08,643046
2013-09,703298
2013-10,880705
2013-11,837752
2013-12,864260
2014-01,752377
2014-02,814002
2014-03,813399
2014-04,812742
2014-05,889918
2014-06,867231
2014-07,713817
2014-08,751832
2014-09,881221
2014-10,880334
2014-11,785350
2014-12,797590
2015-01,868985
2015-02,846376
2015-03,986529
2015-04,777871
2015-05,831191
2015-06,896882
2015-07,716984
2015-08,861158
2015-09,830680
2015-10,872606
2015-11,667827
2015-12,1122352
2016-01,781198
2016-02,979294
2016-03,952833
2016-04,713254
2016-05,974086
2016-06,893814
2016-07,720954
2016-08,963594
2016-09,833133
2016-10,785441
2016-11,896781
2016-12,887815
2017-01,899186
2017-02,915337
2017-03,1015236
2017-04,836065
2017-05,1016640
2017-06,834520
2017-07,842036
2017-08,934110
2017-09,830820
2017-10,976060
2017-11,919723
2017-12,859557
2018-01,1036666
2018-02,993639
2018-03,918442
2018-04,991218
2018-05,1040259
2018-06,847682
2018-07,899865
2018-08,977970
2018-09,825088
2018-10,983272
2018-11,928350
2018-12,844688
2019-01,1195655
2019-02,912928
2019-03,973937
2019-04,1000237
2019-05,945860
2019-06,931701
2019-07,757293
2019-08,937455
2019-09,847059
2019-10,929528
2019-11,943111
2019-12,857498
2020-01,1021959
2020-02,944575
2020-03,910978
2020-04,945444
2020-05,902739
2020-06,955217
2020-07,799004
2020-08,914767
2020-09,804342
2020-10,925902
2020-11,939415
2020-12,944349
