Date,Close
2013-01,125842
2013-02,132874
2013-03,138024
2013-04,157562
2013-05,155399
2013-06,148400
2013-07,142321
2013-08,134376
2013-09,143082
2013-10,158295
2013-11,143179
2013-12,131481
2014-01,119345
2014-02,128572
2014-03,145133
2014-04,140612
2014-05,141070
2014-06,151118
2014-07,144606
2014-08,125884
2014-09,148136
2014-10,146713
2014-11,150072
2014-12,132444
2015-01,111822
2015-02,131852
2015-03,161642
2015-04,140404
2015-05,150475
2015-06,156525
2015-07,135293
2015-08,126299
2015-09,139505
2015-10,148890
2015-11,143008
2015-12,135344
2016-01,113285
2016-02,139990
2016-03,141645
2016-04,145749
2016-05,149512
2016-06,151083
2016-07,127024
2016-08,130123
2016-09,143516
2016-10,145225
2016-11,148013
2016-12,135043
2017-01,129308
2017-02,151075
2017-03,160500
2017-04,137228
2017-05,169503
2017-06,153825
2017-07,125674
2017-08,136712
2017-09,146886
2017-10,153884
2017-11,150686
2017-12,134500
2018-01,127206
2018-02,135331
2018-03,179419
2018-04,165573
2018-05,157489
2018-06,168436
2018-07,163435
2018-08,130041
2018-09,141055
2018-10,169961
2018-11,158086
2018-12,135637
2019-01,181646
2019-02,144255
2019-03,200708
2019-04,231538
2019-05,184116
2019-06,161615
2019-07,153933
2019-08,134062
2019-09,156306
2019-10,187644
2019-11,138578
2019-12,135549
2020-01,160530
2020-02,133933
2020-03,158794
2020-04,123041
2020-05,120812
2020-06,190687
2020-07,150933
2020-08,145421
2020-09,146797
2020-10,148494
2020-11,157986
2020-12,137445
