Date,Close
2013-01,399904
2013-02,379886
2013-03,403574
2013-04,485254
2013-05,466774
2013-06,472535
2013-07,409815
2013-08,463810
2013-09,477289
2013-10,537675
2013-11,469335
2013-12,332714
2014-01,441205
2014-02,466374
2014-03,509010
2014-04,461115
2014-05,519347
2014-06,543295
2014-07,432984
2014-08,511785
2014-09,558885
2014-10,564457
2014-11,463589
2014-12,361999
2015-01,393386
2015-02,432997
2015-03,494631
2015-04,441506
2015-05,439256
2015-06,549249
2015-07,399319
2015-08,453261
2015-09,492008
2015-10,478554
2015-11,475770
2015-12,346795
2016-01,366514
2016-02,434506
2016-03,430977
2016-04,499909
2016-05,487131
2016-06,506061
2016-07,411602
2016-08,500860
2016-09,517719
2016-10,497025
2016-11,488295
2016-12,368845
2017-01,412258
2017-02,412102
2017-03,498334
2017-04,399701
2017-05,543991
2017-06,581654
2017-07,436777
2017-08,471797
2017-09,533108
2017-10,584650
2017-11,582924
2017-12,378184
2018-01,488527
2018-02,476507
2018-03,456742
2018-04,547715
2018-05,489379
2018-06,507502
2018-07,419633
2018-08,499281
2018-09,480732
2018-10,527409
2018-11,475526
2018-12,334107
2019-01,457015
2019-02,467585
2019-03,445642
2019-04,437686
2019-05,476187
2019-06,449493
2019-07,434960
2019-08,446376
2019-09,482248
2019-10,521271
2019-11,411701
2019-12,337717
2020-01,420710
2020-02,370178
2020-03,531307
2020-04,395884
2020-05,428944
2020-06,478225
2020-07,377579
2020-08,430239
2020-09,464795
2020-10,464289
2020-11,440538
2020-12,327010
