Date,Close
2013-01,755237
2013-02,625042
2013-03,433844
2013-04,640207
2013-05,770078
2013-06,577589
2013-07,741850
2013-08,893271
2013-09,804691
2013-10,665190
2013-11,589000
2013-12,710638
2014-01,595388
2014-02,669162
2014-03,412617
2014-04,487218
2014-05,568117
2014-06,527716
2014-07,902836
2014-08,524523
2014-09,620459
2014-10,601323
2014-11,518193
2014-12,540215
2015-01,567178
2015-02,723994
2015-03,566733
2015-04,629760
2015-05,791457
2015-06,759994
2015-07,581963
2015-08,585959
2015-09,756682
2015-10,572342
2015-11,826404
2015-12,608021
2016-01,465978
2016-02,559623
2016-03,488507
2016-04,558186
2016-05,530168
2016-06,521569
2016-07,758166
2016-08,650435
2016-09,522676
2016-10,622386
2016-11,663331
2016-12,836491
2017-01,877428
2017-02,613960
2017-03,661803
2017-04,483772
2017-05,874644
2017-06,738647
2017-07,660080
2017-08,802146
2017-09,656081
2017-10,803719
2017-11,783419
2017-12,729712
2018-01,762799
2018-02,549226
2018-03,976456
2018-04,793365
2018-05,1094776
2018-06,811704
2018-07,712227
2018-08,769946
2018-09,829927
2018-10,786123
2018-11,820978
2018-12,796194
2019-01,627530
2019-02,776565
2019-03,818629
2019-04,763459
2019-05,725423
2019-06,904726
2019-07,1030731
2019-08,990209
2019-09,910636
2019-10,646264
2019-11,984970
2019-12,944918
2020-01,890071
2020-02,770143
2020-03,801961
2020-04,871881
2020-05,760167
2020-06,818110
2020-07,643359
2020-08,818594
2020-09,771105
2020-10,902627
2020-11,870709
2020-12,683535
