Date,Close
2013-01,96989
2013-02,92375
2013-03,89599
2013-04,92706
2013-05,93397
2013-06,91411
2013-07,94324
2013-08,97005
2013-09,103419
2013-10,110035
2013-11,95720
2013-12,83085
2014-01,90410
2014-02,89243
2014-03,100792
2014-04,90240
2014-05,95948
2014-06,97157
2014-07,92034
2014-08,96132
2014-09,107057
2014-10,112588
2014-11,102491
2014-12,85190
2015-01,89712
2015-02,95699
2015-03,114534
2015-04,87702
2015-05,87230
2015-06,101473
2015-07,92490
2015-08,102965
2015-09,107793
2015-10,108281
2015-11,105426
2015-12,89457
2016-01,87729
2016-02,99356
2016-03,100190
2016-04,96625
2016-05,96019
2016-06,103661
2016-07,87202
2016-08,109021
2016-09,105327
2016-10,109422
2016-11,104359
2016-12,85339
2017-01,95323
2017-02,93363
2017-03,105533
2017-04,81942
2017-05,101985
2017-06,95239
2017-07,92194
2017-08,104984
2017-09,107407
2017-10,110353
2017-11,106989
2017-12,83382
2018-01,92776
2018-02,89830
2018-03,90280
2018-04,95638
2018-05,97443
2018-06,97347
2018-07,93173
2018-08,101624
2018-09,101750
2018-10,111140
2018-11,99074
2018-12,76406
2019-01,94881
2019-02,91414
2019-03,96581
2019-04,88244
2019-05,93155
2019-06,89568
2019-07,93164
2019-08,93104
2019-09,103789
2019-10,107018
2019-11,94657
2019-12,76128
2020-01,84373
2020-02,84602
2020-03,92061
2020-04,71663
2020-05,80658
2020-06,96417
2020-07,88553
2020-08,93831
2020-09,106641
2020-10,99961
2020-11,98716
2020-12,81987
