Date,Close
2013-01,499
2013-02,641
2013-03,826
2013-04,702
2013-05,880
2013-06,1017
2013-07,1206
2013-08,949
2013-09,783
2013-10,828
2013-11,874
2013-12,735
2014-01,580
2014-02,653
2014-03,751
2014-04,996
2014-05,963
2014-06,1128
2014-07,1400
2014-08,1223
2014-09,874
2014-10,878
2014-11,859
2014-12,885
2015-01,506
2015-02,648
2015-03,856
2015-04,832
2015-05,962
2015-06,1145
2015-07,1598
2015-08,1056
2015-09,777
2015-10,822
2015-11,746
2015-12,714
2016-01,424
2016-02,550
2016-03,805
2016-04,651
2016-05,927
2016-06,1044
2016-07,1369
2016-08,904
2016-09,749
2016-10,761
2016-11,783
2016-12,806
2017-01,438
2017-02,636
2017-03,689
2017-04,730
2017-05,753
2017-06,924
2017-07,1146
2017-08,809
2017-09,668
2017-10,611
2017-11,708
2017-12,691
2018-01,369
2018-02,502
2018-03,740
2018-04,651
2018-05,847
2018-06,1019
2018-07,1141
2018-08,853
2018-09,668
2018-10,718
2018-11,823
2018-12,707
2019-01,414
2019-02,627
2019-03,727
2019-04,819
2019-05,760
2019-06,961
2019-07,1258
2019-08,1009
2019-09,812
2019-10,825
2019-11,956
2019-12,870
2020-01,611
2020-02,634
2020-03,504
2020-04,224
2020-05,239
2020-06,274
2020-07,338
2020-08,289
2020-09,339
2020-10,295
2020-11,267
2020-12,248
