Date,Close
2013-01,2979844
2013-02,2829461
2013-03,2392903
2013-04,2987641
2013-05,2981618
2013-06,2739899
2013-07,2983075
2013-08,2990757
2013-09,2979033
2013-10,3218384
2013-11,2857718
2013-12,2819733
2014-01,2720429
2014-02,2843653
2014-03,2686726
2014-04,2681014
2014-05,3018661
2014-06,2937212
2014-07,3027317
2014-08,2665634
2014-09,3118764
2014-10,3083430
2014-11,2767525
2014-12,2618122
2015-01,2695120
2015-02,2842288
2015-03,3088523
2015-04,2741724
2015-05,2952624
2015-06,3238832
2015-07,2578175
2015-08,2854795
2015-09,3088231
2015-10,2985890
2015-11,2971879
2015-12,3012389
2016-01,2470573
2016-02,2881575
2016-03,2794443
2016-04,2775524
2016-05,3018507
2016-06,2964115
2016-07,2769087
2016-08,3179602
2016-09,2967388
2016-10,2911814
2016-11,3096121
2016-12,3058170
2017-01,3191142
2017-02,2835638
2017-03,3239179
2017-04,2606852
2017-05,3628275
2017-06,3244298
2017-07,2910723
2017-08,3365123
2017-09,3097884
2017-10,3496344
2017-11,3417872
2017-12,2947376
2018-01,3327924
2018-02,2954249
2018-03,3344416
2018-04,3383458
2018-05,3770508
2018-06,3225607
2018-07,3125235
2018-08,3363010
2018-09,3250310
2018-10,3540054
2018-11,3488001
2018-12,2998103
2019-01,3420119
2019-02,3178774
2019-03,3350326
2019-04,3362144
2019-05,3422688
2019-06,3341836
2019-07,3247228
2019-08,3498638
2019-09,3367466
2019-10,3266515
2019-11,3323038
2019-12,3119289
2020-01,3449977
2020-02,3044748
2020-03,3308549
2020-04,3220472
2020-05,3082772
2020-06,3442702
2020-07,2954673
2020-08,3193885
2020-09,3209370
2020-10,3316128
2020-11,3390183
2020-12,3052594
