Date,Close,Open,High,Low,Vol.,Change
2013-01-02,112.47,111.50,112.90,111.27,183.14,1.22
2013-01-03,112.14,112.20,112.42,111.63,190.29,-0.29
2013-01-04,111.31,111.72,111.78,110.38,191.33,-0.74
2013-01-07,111.40,111.42,111.69,110.54,203.50,0.08
2013-01-08,111.94,111.42,112.47,111.12,194.00,0.48
2013-01-09,111.76,111.90,112.23,111.11,171.95,-0.16
2013-01-10,111.89,111.68,113.29,111.60,196.97,0.12
2013-01-11,110.64,111.95,111.95,109.60,168.07,-1.12
2013-01-14,111.88,110.62,112.15,110.31,110.23,1.12
2013-01-15,110.30,111.93,112.46,110.19,101.26,-1.41
2013-01-16,110.61,110.52,110.84,110.24,19.71,0.28
2013-01-17,111.10,109.74,111.38,109.45,206.29,0.44
2013-01-18,111.89,111.10,111.97,110.47,182.51,0.71
2013-01-21,111.71,111.67,111.99,111.41,74.58,-0.16
2013-01-22,112.42,111.71,112.65,111.35,207.85,0.64
2013-01-23,112.80,112.42,113.15,112.06,239.71,0.34
2013-01-24,113.28,112.76,113.65,112.40,211.58,0.43
2013-01-25,113.28,113.28,113.84,112.83,204.35,0.00
2013-01-28,113.48,113.45,113.80,112.60,172.16,0.18
2013-01-29,114.36,113.48,114.49,113.07,208.91,0.78
2013-01-30,114.90,114.28,115.24,114.07,200.61,0.47
2013-01-31,115.55,114.91,115.76,114.28,195.49,0.57
2013-02-01,116.76,115.77,117.07,115.40,245.85,1.05
2013-02-04,115.60,116.50,116.67,115.32,214.96,-0.99
2013-02-05,116.52,115.47,117.23,115.01,227.10,0.80
2013-02-06,116.73,116.45,117.05,115.72,207.78,0.18
2013-02-07,117.24,116.90,117.83,116.71,242.30,0.44
2013-02-08,118.90,117.48,119.17,117.31,206.48,1.42
2013-02-11,118.13,118.90,119.07,117.54,141.28,-0.65
2013-02-12,118.66,118.27,118.90,117.81,98.00,0.45
2013-02-13,118.72,118.66,119.12,118.39,27.82,0.05
2013-02-14,118.00,117.90,118.29,117.25,186.86,-0.61
2013-02-15,117.66,117.96,118.11,116.28,216.48,-0.29
2013-02-18,117.38,117.81,118.19,116.92,60.36,-0.24
2013-02-19,117.52,117.48,117.60,116.55,134.90,0.12
2013-02-20,115.60,117.35,117.66,115.02,219.24,-1.63
2013-02-21,113.53,115.20,115.31,113.32,248.79,-1.79
2013-02-22,114.10,113.60,114.79,113.60,173.50,0.50
2013-02-25,114.44,114.19,115.87,113.31,190.54,0.30
2013-02-26,112.71,113.64,114.34,112.41,257.23,-1.51
2013-02-27,111.87,112.80,113.35,111.65,220.01,-0.75
2013-02-28,111.38,111.95,112.57,110.87,224.45,-0.44
2013-03-01,110.40,110.90,111.36,109.82,251.90,-0.88
2013-03-04,110.09,110.58,110.89,109.58,226.78,-0.28
2013-03-05,111.61,110.10,111.93,110.10,233.65,1.38
2013-03-06,111.06,111.83,112.23,110.46,201.77,-0.49
2013-03-07,111.15,111.08,111.40,110.41,213.07,0.08
2013-03-08,110.85,110.90,111.33,109.14,228.95,-0.27
2013-03-11,110.22,110.67,110.72,109.53,164.82,-0.57
2013-03-12,109.65,110.13,111.20,109.30,146.00,-0.52
2013-03-13,108.52,109.70,109.89,107.91,106.23,-1.03
2013-03-14,109.42,108.36,109.98,108.18,18.27,0.83
2013-03-15,109.82,109.32,110.53,109.02,186.11,0.37
2013-03-18,109.51,109.83,109.83,107.78,180.93,-0.28
2013-03-19,107.45,109.41,109.54,107.25,226.68,-1.88
2013-03-20,108.72,107.59,108.92,107.55,169.06,1.18
2013-03-21,107.47,108.48,108.75,107.08,190.90,-1.15
2013-03-22,107.66,107.31,107.96,106.90,174.36,0.18
2013-03-25,108.17,106.86,109.07,106.80,199.23,0.47
2013-03-26,109.36,108.11,109.59,107.71,207.41,1.10
2013-03-27,109.69,109.40,109.98,108.85,217.52,0.30
2013-03-28,110.02,109.85,110.10,108.98,164.97,0.30
2013-04-01,111.08,110.15,111.33,109.38,102.14,0.96
2013-04-02,110.69,111.07,111.79,110.00,205.64,-0.35
2013-04-03,107.11,110.28,110.43,106.78,304.65,-3.23
2013-04-04,106.34,107.07,108.06,105.29,284.41,-0.72
2013-04-05,104.12,106.49,106.65,103.62,273.97,-2.09
2013-04-08,104.66,104.28,105.55,103.40,245.68,0.52
2013-04-09,106.23,104.78,106.50,104.27,173.29,1.50
2013-04-10,105.79,106.19,106.47,105.16,136.06,-0.41
2013-04-11,104.27,105.50,105.94,103.70,116.87,-1.44
2013-04-12,103.11,104.29,104.39,101.09,121.49,-1.11
2013-04-15,100.39,103.03,103.09,100.02,23.65,-2.64
2013-04-16,99.91,99.43,100.37,98.00,328.74,-0.48
2013-04-17,97.69,100.11,100.46,97.26,292.12,-2.22
2013-04-18,99.13,97.46,99.85,96.75,306.94,1.47
2013-04-19,99.65,99.54,100.33,99.04,175.36,0.52
2013-04-22,100.39,99.56,101.04,99.20,210.04,0.74
2013-04-23,100.31,100.56,100.59,98.78,242.74,-0.08
2013-04-24,101.73,100.34,101.99,100.22,204.01,1.42
