Date,Week day,Close,1W,1M,2M,3M,6M,12M
2021-01-19,Tue,-0.59386,-0.57214,-0.58671,-0.56114,-0.55386,-0.53314,-0.49871
2021-01-18,Mon,-0.59343,-0.57886,-0.58886,-0.56086,-0.55529,-0.53643,-0.50071
2021-01-15,Fri,-0.587,-0.57871,-0.58814,-0.55871,-0.55557,-0.53671,-0.49814
2021-01-14,Thu,-0.58843,-0.57629,-0.59486,-0.55829,-0.55314,-0.53457,-0.49614
2021-01-13,Wed,-0.58443,-0.57586,-0.59443,-0.55743,-0.55271,-0.53457,-0.49186
2021-01-12,Tue,-0.58914,-0.57157,-0.595,-0.55714,-0.55914,-0.53629,-0.49143
2021-01-11,Mon,-0.588,-0.57157,-0.59471,-0.55486,-0.56471,-0.53443,-0.49429
2021-01-08,Fri,-0.58857,-0.57814,-0.59543,-0.55829,-0.57086,-0.536,-0.49486
2021-01-07,Thu,-0.58857,-0.576,-0.59343,-0.55729,-0.56714,-0.53814,-0.49414
2021-01-06,Wed,-0.58714,-0.57943,-0.591,-0.55929,-0.56671,-0.53557,-0.49243
2021-01-05,Tue,-0.58714,-0.57614,-0.59029,-0.55271,-0.55943,-0.53243,-0.49371
2021-01-04,Mon,-0.58429,-0.56771,-0.58957,-0.55129,-0.56257,-0.53514,-0.49386
2020-12-31,Thu,-0.60043,-0.56743,-0.58586,-0.55586,-0.56629,-0.533,-0.48986
2020-12-30,Wed,-0.5864,-0.56643,-0.58686,-0.55486,-0.56629,-0.53157,-0.48957
2020-12-29,Tue,-0.58071,-0.58586,-0.60657,-0.55729,-0.56186,-0.53343,-0.48929
2020-12-24,Thu,-0.58529,-0.58529,-0.59671,-0.55914,-0.56357,-0.53029,-0.48457
2020-12-23,Wed,-0.58514,-0.58743,-0.59614,-0.55829,-0.57386,-0.53286,-0.486
2020-12-22,Tue,-0.584,-0.56871,-0.59529,-0.559,-0.573,-0.53329,-0.48629
2020-12-21,Mon,-0.58171,-0.56871,-0.59457,-0.55629,-0.56829,-0.53343,-0.48386
2020-12-18,Fri,-0.58329,-0.56971,-0.59371,-0.55743,-0.56829,-0.53657,-0.48157
2020-12-17,Thu,-0.58786,-0.57743,-0.59729,-0.55857,-0.56914,-0.54029,-0.48443
2020-12-16,Wed,-0.58286,-0.57786,-0.59043,-0.55257,-0.56586,-0.538,-0.492
2020-12-15,Tue,-0.58514,-0.57643,-0.58629,-0.55557,-0.568,-0.53314,-0.497
2020-12-14,Mon,-0.585,-0.57586,-0.58386,-0.55929,-0.56543,-0.53543,-0.49814
2020-12-11,Fri,-0.58386,-0.57957,-0.582,-0.55657,-0.57229,-0.53557,-0.49657
2020-12-10,Thu,-0.58214,-0.57843,-0.58843,-0.56429,-0.56443,-0.53457,-0.501
2020-12-09,Wed,-0.58757,-0.57743,-0.59129,-0.56271,-0.56857,-0.53371,-0.497
2020-12-08,Tue,-0.58414,-0.57086,-0.59143,-0.55314,-0.56843,-0.53057,-0.49514
2020-12-07,Mon,-0.58229,-0.56929,-0.59543,-0.54543,-0.55614,-0.52514,-0.487
2020-12-04,Fri,-0.584,-0.56957,-0.58957,-0.55486,-0.55286,-0.52229,-0.48543
2020-12-03,Thu,-0.58229,-0.56714,-0.58614,-0.557,-0.5541,-0.519,-0.47929
2020-12-02,Wed,-0.58114,-0.56971,-0.58614,-0.55457,-0.54843,-0.518,-0.47814
2020-12-01,Tue,-0.58586,-0.56886,-0.58571,-0.55071,-0.55043,-0.51686,-0.47914
2020-11-30,Mon,-0.58586,-0.56843,-0.58371,-0.54929,-0.55157,-0.51714,-0.47814
2020-11-27,Fri,-0.59014,-0.5684,-0.58114,-0.5461,-0.54529,-0.51514,-0.47743
2020-11-26,Thu,-0.58743,-0.5672,-0.57871,-0.54543,-0.54643,-0.51486,-0.47686
2020-11-25,Wed,-0.59086,-0.56914,-0.57829,-0.54943,-0.54429,-0.51629,-0.473
2020-11-24,Tue,-0.58871,-0.57743,-0.57986,-0.546,-0.54814,-0.51914,-0.47057
2020-11-23,Mon,-0.589,-0.57886,-0.579,-0.54771,-0.54271,-0.52014,-0.46986
2020-11-20,Fri,-0.58914,-0.57729,-0.57829,-0.54529,-0.54386,-0.51886,-0.46886
2020-11-19,Thu,-0.588,-0.57671,-0.57686,-0.54471,-0.54329,-0.51886,-0.46757
2020-11-18,Wed,-0.59029,-0.57571,-0.57614,-0.54486,-0.54543,-0.51986,-0.46757
2020-11-17,Tue,-0.586,-0.58,-0.57657,-0.54886,-0.54629,-0.51757,-0.468
2020-11-16,Mon,-0.59214,-0.58029,-0.57386,-0.54557,-0.53971,-0.51571,-0.45714
2020-11-13,Fri,-0.58657,-0.5677,-0.57314,-0.54843,-0.53857,-0.51214,-0.45586
2020-11-12,Thu,-0.59086,-0.56857,-0.57371,-0.547,-0.53286,-0.51186,-0.45457
2020-11-11,Wed,-0.59071,-0.57543,-0.57386,-0.53971,-0.53857,-0.51643,-0.45343
2020-11-10,Tue,-0.58886,-0.57571,-0.57529,-0.539,-0.53686,-0.51743,-0.45571
2020-11-09,Mon,-0.58943,-0.57843,-0.57586,-0.543,-0.54143,-0.52514,-0.47286
2020-11-06,Fri,-0.59,-0.579,-0.57486,-0.54114,-0.53843,-0.524,-0.47143
2020-11-05,Thu,-0.58786,-0.57714,-0.57529,-0.54329,-0.53657,-0.52471,-0.47243
2020-11-04,Wed,-0.58286,-0.56514,-0.57386,-0.53771,-0.54486,-0.52514,-0.47443
2020-11-03,Tue,-0.58757,-0.56486,-0.57586,-0.53471,-0.535,-0.52314,-0.473
2020-11-02,Mon,-0.58271,-0.57671,-0.56286,-0.53471,-0.53529,-0.52586,-0.47371
2020-10-30,Fri,-0.57829,-0.577,-0.56171,-0.534,-0.52971,-0.52329,-0.47386
2020-10-29,Thu,-0.582,-0.576,-0.56314,-0.534,-0.52957,-0.521,-0.47
2020-10-28,Wed,-0.58214,-0.57671,-0.568,-0.53386,-0.52557,-0.51614,-0.465
2020-10-27,Tue,-0.58057,-0.575,-0.566,-0.53729,-0.53043,-0.51243,-0.45871
2020-10-26,Mon,-0.57886,-0.57514,-0.566,-0.53614,-0.52771,-0.507,-0.45714
2020-10-23,Fri,-0.583,-0.57457,-0.56471,-0.53529,-0.52686,-0.50757,-0.45871
2020-10-22,Thu,-0.58343,-0.57557,-0.56486,-0.53671,-0.53071,-0.508,-0.45929
2020-10-21,Wed,-0.58429,-0.57629,-0.56443,-0.53329,-0.51971,-0.50543,-0.45943
2020-10-20,Tue,-0.58543,-0.56971,-0.56257,-0.53486,-0.53314,-0.51043,-0.46357
2020-10-19,Mon,-0.584,-0.57043,-0.56157,-0.53314,-0.53586,-0.51186,-0.46357
2020-10-16,Fri,-0.58514,-0.57057,-0.56343,-0.53657,-0.54029,-0.51471,-0.46286
2020-10-15,Thu,-0.58429,-0.57186,-0.56243,-0.53429,-0.53229,-0.51129,-0.46114
2020-10-14,Wed,-0.58514,-0.56943,-0.55786,-0.53471,-0.52929,-0.5068,-0.46257
2020-10-13,Tue,-0.58486,-0.55871,-0.56243,-0.53143,-0.53014,-0.50429,-0.458
2020-10-12,Mon,-0.58371,-0.55843,-0.563,-0.53114,-0.52743,-0.49714,-0.444
2020-10-09,Fri,-0.58371,-0.56914,-0.56486,-0.52857,-0.52286,-0.49771,-0.44314
2020-10-08,Thu,-0.58514,-0.57414,-0.563,-0.52871,-0.5198,-0.4962,-0.44057
2020-10-07,Wed,-0.587,-0.57443,-0.569,-0.52729,-0.52057,-0.49629,-0.44086
2020-10-06,Tue,-0.58614,-0.57443,-0.56643,-0.524,-0.52657,-0.49543,-0.44129
2020-10-05,Mon,-0.58629,-0.57043,-0.56714,-0.523,-0.5285,-0.4952,-0.44257
2020-10-02,Fri,-0.58757,-0.55986,-0.57114,-0.527,-0.52771,-0.496,-0.43971
2020-10-01,Thu,-0.58829,-0.58,-0.57114,-0.52571,-0.52529,-0.496,-0.43729
2020-09-30,Wed,-0.585,-0.57157,-0.56843,-0.52129,-0.51971,-0.49386,-0.43529
2020-09-29,Tue,-0.58686,-0.57086,-0.56771,-0.52043,-0.51157,-0.50371,-0.43743
2020-09-28,Mon,-0.583,-0.57171,-0.56686,-0.51371,-0.51657,-0.501,-0.43086
2020-09-25,Fri,-0.587,-0.56929,-0.56714,-0.51329,-0.51329,-0.50214,-0.43557
2020-09-24,Thu,-0.58071,-0.56843,-0.56786,-0.51329,-0.51671,-0.49843,-0.43086
2020-09-23,Wed,-0.58243,-0.56029,-0.56614,-0.515,-0.51843,-0.49757,-0.43043
2020-09-22,Tue,-0.584,-0.55943,-0.56786,-0.515,-0.51914,-0.49571,-0.432
2020-09-21,Mon,-0.581,-0.571,-0.565,-0.50929,-0.51729,-0.49486,-0.431
2020-09-18,Fri,-0.58443,-0.56671,-0.56529,-0.509,-0.52186,-0.49714,-0.43214
2020-09-17,Thu,-0.58471,-0.57014,-0.56357,-0.50429,-0.51843,-0.49357,-0.42857
2020-09-16,Wed,-0.58429,-0.56786,-0.56357,-0.50943,-0.52129,-0.49557,-0.42886
2020-09-15,Tue,-0.588,-0.568,-0.56243,-0.50743,-0.51314,-0.49129,-0.42471
2020-09-14,Mon,-0.583,-0.56686,-0.56257,-0.50629,-0.51043,-0.49329,-0.42329
2020-09-11,Fri,-0.58471,-0.55686,-0.56043,-0.50743,-0.50743,-0.49371,-0.418
2020-09-10,Thu,-0.58857,-0.55743,-0.55543,-0.50614,-0.512,-0.48757,-0.41286
2020-09-09,Wed,-0.588,-0.55871,-0.55443,-0.50857,-0.51786,-0.49714,-0.41629
2020-09-08,Tue,-0.58443,-0.55429,-0.55229,-0.51014,-0.51614,-0.49771,-0.407
2020-09-07,Mon,-0.58357,-0.55571,-0.55114,-0.50814,-0.51314,-0.49186,-0.40414
2020-09-04,Fri,-0.58314,-0.55529,-0.54514,-0.505,-0.50671,-0.48529,-0.39786
2020-09-03,Thu,-0.58314,-0.555,-0.54786,-0.49743,-0.50114,-0.47814,-0.39086
2020-09-02,Wed,-0.58557,-0.551,-0.54657,-0.50057,-0.50457,-0.47357,-0.38314
2020-09-01,Tue,-0.58114,-0.55314,-0.54329,-0.49714,-0.50586,-0.46986,-0.37286
