Date,Close
2013-01-01,3.4
2013-01-02,3.7
2013-01-03,7.5
2013-01-04,7.8
2013-01-05,7.1
2013-01-06,6.4
2013-01-07,5.9
2013-01-08,3.5
2013-01-09,4.1
2013-01-10,-1
2013-01-11,-3.6
2013-01-12,-5.2
2013-01-13,-4.6
2013-01-14,-1.7
2013-01-15,-6
2013-01-16,-2.7
2013-01-17,-4.1
2013-01-18,-5.3
2013-01-19,-6.3
2013-01-20,-5.6
2013-01-21,-4.8
2013-01-22,-7
2013-01-23,-4.6
2013-01-24,-1.8
2013-01-25,0.2
2013-01-26,1.8
2013-01-27,3.7
2013-01-28,4.4
2013-01-29,5.6
2013-01-30,5.5
2013-01-31,2.1
2013-02-01,-0.9
2013-02-02,1
2013-02-03,1.4
2013-02-04,2.6
2013-02-05,2
2013-02-06,0.9
2013-02-07,-2.8
2013-02-08,-1.9
2013-02-09,-1.1
2013-02-10,-3.2
2013-02-11,-4.2
2013-02-12,-4
2013-02-13,-0.8
2013-02-14,2.4
2013-02-15,2.6
2013-02-16,2.4
2013-02-17,2.6
2013-02-18,3.9
2013-02-19,2.6
2013-02-20,0.3
2013-02-21,-1
2013-02-22,-0.2
2013-02-23,1.7
2013-02-24,1.6
2013-02-25,0.7
2013-02-26,0.7
2013-02-27,2.3
2013-02-28,4.6
2013-03-01,2.5
2013-03-02,3.7
2013-03-03,3.2
2013-03-04,3.6
2013-03-05,2.6
2013-03-06,3.7
2013-03-07,2.6
2013-03-08,1.1
2013-03-09,-0.6
2013-03-10,-2.1
2013-03-11,-2.3
2013-03-12,-0.1
2013-03-13,-2
2013-03-14,-0.6
2013-03-15,1.7
2013-03-16,4.6
2013-03-17,5.9
2013-03-18,2.5
2013-03-19,-0.8
2013-03-20,-1.2
2013-03-21,0.2
2013-03-22,-1.6
2013-03-23,-1.6
2013-03-24,-0.2
2013-03-25,0.3
2013-03-26,0.1
2013-03-27,0.2
2013-03-28,0.9
2013-03-29,1.3
2013-03-30,1
2013-03-31,0.8
2013-04-01,3
2013-04-02,4
2013-04-03,3.7
2013-04-04,4
2013-04-05,2.9
2013-04-06,1.6
2013-04-07,0.8
2013-04-08,1.6
2013-04-09,2.9
2013-04-10,2.8
2013-04-11,3.8
2013-04-12,6.3
2013-04-13,4.8
2013-04-14,8.1
2013-04-15,9
2013-04-16,9
2013-04-17,7.2
2013-04-18,7.4
2013-04-19,5.6
2013-04-20,6.3
2013-04-21,8.2
2013-04-22,5.8
2013-04-23,7.1
2013-04-24,6.2
2013-04-25,5.2
2013-04-26,4.3
2013-04-27,5.3
2013-04-28,4.4
2013-04-29,5
2013-04-30,5.2
2013-05-01,4.2
2013-05-02,4.2
2013-05-03,3.5
2013-05-04,5.2
2013-05-05,8.4
2013-05-06,10.6
2013-05-07,9.8
2013-05-08,12.2
2013-05-09,10.2
2013-05-10,9.1
2013-05-11,8.1
2013-05-12,8.5
2013-05-13,7.1
2013-05-14,8.3
2013-05-15,9.4
2013-05-16,10.9
2013-05-17,14
2013-05-18,20.1
2013-05-19,19.9
2013-05-20,17.9
2013-05-21,10.5
2013-05-22,9.1
2013-05-23,11.8
2013-05-24,10.9
2013-05-25,10
2013-05-26,11
2013-05-27,13.5
2013-05-28,16.8
2013-05-29,21.3
2013-05-30,17.9
2013-05-31,15.9
2013-06-01,10.8
2013-06-02,9.9
2013-06-03,11.6
2013-06-04,13.6
2013-06-05,12
2013-06-06,11.2
2013-06-07,11.2
2013-06-08,10.9
2013-06-09,13.2
2013-06-10,15.4
2013-06-11,14.2
2013-06-12,13.5
2013-06-13,13.3
2013-06-14,12.2
2013-06-15,14
2013-06-16,14.8
2013-06-17,13.2
2013-06-18,14
2013-06-19,15.1
2013-06-20,14.9
2013-06-21,13.3
2013-06-22,14.5
2013-06-23,14.4
2013-06-24,13.3
2013-06-25,13
2013-06-26,14.2
2013-06-27,16.6
2013-06-28,14.3
2013-06-29,11.9
2013-06-30,13.1
2013-07-01,12.9
2013-07-02,12.5
2013-07-03,13.5
2013-07-04,14.5
2013-07-05,14.3
2013-07-06,16.6
2013-07-07,14.8
2013-07-08,14.1
2013-07-09,12.8
2013-07-10,13.6
2013-07-11,14.2
2013-07-12,15.4
2013-07-13,13
2013-07-14,11.8
2013-07-15,12.5
2013-07-16,13.5
2013-07-17,15.2
2013-07-18,13.6
2013-07-19,15.1
2013-07-20,16.6
2013-07-21,17.6
2013-07-22,18.3
2013-07-23,19.7
2013-07-24,20.1
2013-07-25,20.4
2013-07-26,20.4
2013-07-27,18.6
2013-07-28,18
2013-07-29,18.3
2013-07-30,16.4
2013-07-31,14.9
2013-08-01,15.8
2013-08-02,21.5
2013-08-03,18.3
2013-08-04,16.5
2013-08-05,16
2013-08-06,15.1
2013-08-07,14.1
2013-08-08,15.5
2013-08-09,14.9
2013-08-10,15
2013-08-11,12.9
2013-08-12,12.2
2013-08-13,13.2
2013-08-14,13.1
2013-08-15,14.9
2013-08-16,15.3
2013-08-17,14.3
2013-08-18,14.5
2013-08-19,14.2
2013-08-20,14.2
2013-08-21,14.6
2013-08-22,15.3
2013-08-23,17.1
2013-08-24,19
2013-08-25,16.4
2013-08-26,16.5
2013-08-27,16.5
2013-08-28,13.1
2013-08-29,13.5
2013-08-30,15.5
2013-08-31,12.3
2013-09-01,10.6
2013-09-02,13
2013-09-03,13.5
2013-09-04,16.4
2013-09-05,17.7
2013-09-06,15.3
2013-09-07,16.6
2013-09-08,16.4
2013-09-09,14.9
2013-09-10,15.7
2013-09-11,15
2013-09-12,14.7
2013-09-13,13.3
2013-09-14,12.5
2013-09-15,11.5
2013-09-16,10.1
2013-09-17,11.5
2013-09-18,9
2013-09-19,10.6
2013-09-20,11.2
2013-09-21,11.9
2013-09-22,12.2
2013-09-23,11.5
2013-09-24,10.5
2013-09-25,10.3
2013-09-26,8.7
2013-09-27,8
2013-09-28,9.3
2013-09-29,11.2
2013-09-30,10.9
2013-10-01,9.5
2013-10-02,9.9
2013-10-03,11.7
2013-10-04,13.4
2013-10-05,11.3
2013-10-06,12.2
2013-10-07,13.4
2013-10-08,13.2
2013-10-09,9.5
2013-10-10,9.5
2013-10-11,7.4
2013-10-12,8.3
2013-10-13,10
2013-10-14,8.9
2013-10-15,9.3
2013-10-16,9.6
2013-10-17,7.3
2013-10-18,4.8
2013-10-19,4.9
2013-10-20,7
2013-10-21,9
2013-10-22,12.2
2013-10-23,13.4
2013-10-24,9
2013-10-25,8.4
2013-10-26,10.5
2013-10-27,10.7
2013-10-28,9.8
2013-10-29,8.2
2013-10-30,7.6
2013-10-31,8.8
2013-11-01,7.9
2013-11-02,7.2
2013-11-03,9.3
2013-11-04,5.1
2013-11-05,6.4
2013-11-06,5.4
2013-11-07,5.2
2013-11-08,6.7
2013-11-09,5.5
2013-11-10,3.6
2013-11-11,5.3
2013-11-12,6.9
2013-11-13,6
2013-11-14,7.5
2013-11-15,7.5
2013-11-16,9.6
2013-11-17,6.3
2013-11-18,6
2013-11-19,1.4
2013-11-20,3.9
2013-11-21,3.1
2013-11-22,3
2013-11-23,4.5
2013-11-24,1.1
2013-11-25,2.2
2013-11-26,6
2013-11-27,8.6
2013-11-28,5.5
2013-11-29,3.2
2013-11-30,4.3
2013-12-01,5.7
2013-12-02,5.3
2013-12-03,6.1
2013-12-04,3.7
2013-12-05,2.6
2013-12-06,-0.7
2013-12-07,-2.9
2013-12-08,3.2
2013-12-09,6.6
2013-12-10,8.5
2013-12-11,9.3
2013-12-12,7.3
2013-12-13,4.6
2013-12-14,7.9
2013-12-15,7.3
2013-12-16,7.7
2013-12-17,6.5
2013-12-18,7.2
2013-12-19,6.8
2013-12-20,4.6
2013-12-21,7.6
2013-12-22,4
2013-12-23,4.3
2013-12-24,7.5
2013-12-25,6.4
2013-12-26,7.2
2013-12-27,7.2
2013-12-28,7
2013-12-29,4.2
2013-12-30,5.8
2013-12-31,7.4
2014-01-01,6.6
2014-01-02,8.4
2014-01-03,7.8
2014-01-04,6.7
2014-01-05,7.6
2014-01-06,7.3
2014-01-07,8.3
2014-01-08,7.6
2014-01-09,4.4
2014-01-10,3.1
2014-01-11,2.8
2014-01-12,-1.5
2014-01-13,-1.3
2014-01-14,0.3
2014-01-15,-0.4
2014-01-16,3.9
2014-01-17,2.8
2014-01-18,3.5
2014-01-19,4.5
2014-01-20,3.1
2014-01-21,1.1
2014-01-22,1.3
2014-01-23,2.5
2014-01-24,1.8
2014-01-25,2.8
2014-01-26,2.1
2014-01-27,1.2
2014-01-28,3.6
2014-01-29,2.5
2014-01-30,-0.5
2014-01-31,1.2
2014-02-01,4.6
2014-02-02,6.6
2014-02-03,6.5
2014-02-04,4.9
2014-02-05,6.9
2014-02-06,6.9
2014-02-07,5.2
2014-02-08,5.3
2014-02-09,7
2014-02-10,5.5
2014-02-11,5.8
2014-02-12,3.9
2014-02-13,4.9
2014-02-14,5.3
2014-02-15,6.5
2014-02-16,5
2014-02-17,2.9
2014-02-18,1.8
2014-02-19,0.3
2014-02-20,1.6
2014-02-21,5.1
2014-02-22,5.4
2014-02-23,7.4
2014-02-24,7.9
2014-02-25,9.6
2014-02-26,8.2
2014-02-27,7.1
2014-02-28,6.1
2014-03-01,4.5
2014-03-02,4.9
2014-03-03,8.1
2014-03-04,8.1
2014-03-05,7.1
2014-03-06,6.5
2014-03-07,6.4
2014-03-08,6
2014-03-09,8
2014-03-10,6.1
2014-03-11,5.8
2014-03-12,5.1
2014-03-13,4.7
2014-03-14,5.1
2014-03-15,3.5
2014-03-16,4.1
2014-03-17,3.6
2014-03-18,4.4
2014-03-19,6
2014-03-20,7
2014-03-21,5.6
2014-03-22,5.2
2014-03-23,3.5
2014-03-24,4.4
2014-03-25,5.4
2014-03-26,7.2
2014-03-27,6.7
2014-03-28,9
2014-03-29,9.6
2014-03-30,7.8
2014-03-31,6.4
2014-04-01,6.4
2014-04-02,6.4
2014-04-03,5.8
2014-04-04,6.9
2014-04-05,5.4
2014-04-06,9.7
2014-04-07,10.6
2014-04-08,9.2
2014-04-09,8.5
2014-04-10,7.2
2014-04-11,7.2
2014-04-12,6.7
2014-04-13,6.1
2014-04-14,4.7
2014-04-15,5.9
2014-04-16,7.2
2014-04-17,6.3
2014-04-18,7.6
2014-04-19,8.7
2014-04-20,9.5
2014-04-21,12.4
2014-04-22,14.5
2014-04-23,14.1
2014-04-24,11.7
2014-04-25,12
2014-04-26,14.2
2014-04-27,14.1
2014-04-28,12.1
2014-04-29,10.3
2014-04-30,6.9
2014-05-01,7.2
2014-05-02,6.7
2014-05-03,5.9
2014-05-04,6.1
2014-05-05,7.6
2014-05-06,10.8
2014-05-07,10.2
2014-05-08,10.7
2014-05-09,9.6
2014-05-10,10.2
2014-05-11,12.3
2014-05-12,11.5
2014-05-13,9.4
2014-05-14,9.6
2014-05-15,7.9
2014-05-16,11.5
2014-05-17,11.9
2014-05-18,15.8
2014-05-19,14.6
2014-05-20,15.5
2014-05-21,15.5
2014-05-22,13.3
2014-05-23,14.3
2014-05-24,13.7
2014-05-25,11
2014-05-26,10.4
2014-05-27,15.3
2014-05-28,15.2
2014-05-29,14.9
2014-05-30,12.9
2014-05-31,13.4
2014-06-01,12.5
2014-06-02,14.3
2014-06-03,16.2
2014-06-04,16.7
2014-06-05,17.8
2014-06-06,14.1
2014-06-07,15
2014-06-08,15.3
2014-06-09,17.6
2014-06-10,18
2014-06-11,15.1
2014-06-12,12.1
2014-06-13,14.4
2014-06-14,15.2
2014-06-15,14.3
2014-06-16,15.1
2014-06-17,13.8
2014-06-18,13.6
2014-06-19,12.9
2014-06-20,11.8
2014-06-21,12.2
2014-06-22,11.6
2014-06-23,12.9
2014-06-24,14.3
2014-06-25,14.8
2014-06-26,13.6
2014-06-27,14.4
2014-06-28,15.2
2014-06-29,14.6
2014-06-30,14.9
2014-07-01,14.8
2014-07-02,12.6
2014-07-03,13.3
2014-07-04,15.6
2014-07-05,18.7
2014-07-06,14.9
2014-07-07,16.6
2014-07-08,17.1
2014-07-09,22.7
2014-07-10,22.5
2014-07-11,22.9
2014-07-12,21.4
2014-07-13,20.1
2014-07-14,19
2014-07-15,15.8
2014-07-16,15.1
2014-07-17,15.8
2014-07-18,18
2014-07-19,20.1
2014-07-20,22.9
2014-07-21,23.7
2014-07-22,22.5
2014-07-23,22.6
2014-07-24,23.8
2014-07-25,22.2
2014-07-26,23.6
2014-07-27,20.7
2014-07-28,19.7
2014-07-29,18.8
2014-07-30,15.6
2014-07-31,14.8
2014-08-01,15.9
2014-08-02,19.1
2014-08-03,20.1
2014-08-04,19.1
2014-08-05,16.7
2014-08-06,17.5
2014-08-07,17.2
2014-08-08,17.5
2014-08-09,18.2
2014-08-10,18.3
2014-08-11,18.4
2014-08-12,13.6
2014-08-13,15.2
2014-08-14,15.8
2014-08-15,14.8
2014-08-16,13.5
2014-08-17,12.8
2014-08-18,13.8
2014-08-19,14.6
2014-08-20,13.8
2014-08-21,12.4
2014-08-22,12.6
2014-08-23,12.7
2014-08-24,11.8
2014-08-25,13.5
2014-08-26,13.9
2014-08-27,14.6
2014-08-28,14.2
2014-08-29,14.1
2014-08-30,16.7
2014-08-31,18.9
2014-09-01,15.7
2014-09-02,14.8
2014-09-03,15.5
2014-09-04,16.4
2014-09-05,15.3
2014-09-06,15.1
2014-09-07,14.7
2014-09-08,14.3
2014-09-09,13.7
2014-09-10,13.4
2014-09-11,13.8
2014-09-12,15.1
2014-09-13,14.4
2014-09-14,14.4
2014-09-15,15.2
2014-09-16,15.1
2014-09-17,14.1
2014-09-18,13.6
2014-09-19,14.2
2014-09-20,12.9
2014-09-21,11.7
2014-09-22,9.9
2014-09-23,9.9
2014-09-24,10.5
2014-09-25,10
2014-09-26,12.2
2014-09-27,12.4
2014-09-28,12.8
2014-09-29,12
2014-09-30,14.6
2014-10-01,13.4
2014-10-02,10.6
2014-10-03,14.6
2014-10-04,17.8
2014-10-05,12.7
2014-10-06,14.4
2014-10-07,12.8
2014-10-08,10.6
2014-10-09,11.5
2014-10-10,11.2
2014-10-11,10.4
2014-10-12,9.5
2014-10-13,9.1
2014-10-14,7.4
2014-10-15,6.6
2014-10-16,6.6
2014-10-17,6
2014-10-18,10.3
2014-10-19,13.3
2014-10-20,10.5
2014-10-21,11.3
2014-10-22,8.5
2014-10-23,10.5
2014-10-24,11.2
2014-10-25,10.2
2014-10-26,11.9
2014-10-27,10.7
2014-10-28,11.5
2014-10-29,6.6
2014-10-30,6.5
2014-10-31,10.2
2014-11-01,13.9
2014-11-02,11.3
2014-11-03,8.6
2014-11-04,6.9
2014-11-05,7.3
2014-11-06,7.7
2014-11-07,10.4
2014-11-08,10.4
2014-11-09,10.2
2014-11-10,9.3
2014-11-11,5.5
2014-11-12,9.6
2014-11-13,9.9
2014-11-14,11.6
2014-11-15,10.6
2014-11-16,6.4
2014-11-17,5.2
2014-11-18,5.5
2014-11-19,5.5
2014-11-20,5.6
2014-11-21,5
2014-11-22,4.9
2014-11-23,7
2014-11-24,5.5
2014-11-25,6.1
2014-11-26,4.8
2014-11-27,3.6
2014-11-28,3.8
2014-11-29,3.9
2014-11-30,2.9
2014-12-01,3.7
2014-12-02,3.4
2014-12-03,6.6
2014-12-04,7.5
2014-12-05,5.1
2014-12-06,3.3
2014-12-07,4.9
2014-12-08,3.1
2014-12-09,3.4
2014-12-10,4.6
2014-12-11,3.7
2014-12-12,3.4
2014-12-13,2.5
2014-12-14,5.8
2014-12-15,2.3
2014-12-16,2.1
2014-12-17,3.7
2014-12-18,5.7
2014-12-19,4.1
2014-12-20,2.4
2014-12-21,4.4
2014-12-22,5.5
2014-12-23,3.7
2014-12-24,2.4
2014-12-25,-2.4
2014-12-26,-0.6
2014-12-27,-5.1
2014-12-28,-0.9
2014-12-29,1.2
2014-12-30,4.1
2014-12-31,6.2
2015-01-01,7.9
2015-01-02,5.5
2015-01-03,2.9
2015-01-04,1.7
2015-01-05,4.5
2015-01-06,6.3
2015-01-07,4.9
2015-01-08,5.2
2015-01-09,4.4
2015-01-10,4.8
2015-01-11,3.9
2015-01-12,5
2015-01-13,4.8
2015-01-14,3.7
2015-01-15,5.1
2015-01-16,5
2015-01-17,3.3
2015-01-18,2.4
2015-01-19,-0.9
2015-01-20,0.2
2015-01-21,1.4
2015-01-22,-1.8
2015-01-23,2.3
2015-01-24,2.6
2015-01-25,3.4
2015-01-26,4.5
2015-01-27,4.1
2015-01-28,4.7
2015-01-29,1.8
2015-01-30,1.8
2015-01-31,1.5
2015-02-01,-1.2
2015-02-02,-1.4
2015-02-03,-1.7
2015-02-04,-2.8
2015-02-05,0.5
2015-02-06,2.9
2015-02-07,3.1
2015-02-08,2.7
2015-02-09,4.5
2015-02-10,6.2
2015-02-11,4.9
2015-02-12,4.8
