Date,Close
2013-01-01,-0.1
2013-01-02,-4.3
2013-01-03,-2.2
2013-01-04,-1.2
2013-01-05,-1.1
2013-01-06,-0.2
2013-01-07,0.2
2013-01-08,-0.2
2013-01-09,-1.3
2013-01-10,-0.9
2013-01-11,-4
2013-01-12,-11.1
2013-01-13,-14.2
2013-01-14,-12.3
2013-01-15,-9.2
2013-01-16,-9.8
2013-01-17,-5.5
2013-01-18,-7.7
2013-01-19,-13.7
2013-01-20,-5.7
2013-01-21,-7.2
2013-01-22,-14.9
2013-01-23,-15.7
2013-01-24,-11
2013-01-25,-12.3
2013-01-26,-4.9
2013-01-27,-3.2
2013-01-28,-1
2013-01-29,0.9
2013-01-30,1.9
2013-01-31,-0.3
2013-02-01,-8.4
2013-02-02,-8.8
2013-02-03,-6.3
2013-02-04,-2.9
2013-02-05,-4.3
2013-02-06,-0.2
2013-02-07,-2.6
2013-02-08,-5.1
2013-02-09,-8.8
2013-02-10,-5.3
2013-02-11,-9.7
2013-02-12,-4
2013-02-13,-3.9
2013-02-14,-1.9
2013-02-15,-1.5
2013-02-16,-0.6
2013-02-17,-0.2
2013-02-18,0.6
2013-02-19,-2
2013-02-20,-6.8
2013-02-21,-10.6
2013-02-22,-4.8
2013-02-23,0.7
2013-02-24,-0.7
2013-02-25,-3.6
2013-02-26,-5.2
2013-02-27,-4.4
2013-02-28,-2
2013-03-01,1.4
2013-03-02,3.2
2013-03-03,2.2
2013-03-04,-0.6
2013-03-05,-0.9
2013-03-06,1
2013-03-07,-2.8
2013-03-08,-3.6
2013-03-09,-3.4
2013-03-10,-8.2
2013-03-11,-6.5
2013-03-12,-2.6
2013-03-13,-6
2013-03-14,-8.5
2013-03-15,-6.9
2013-03-16,-1.5
2013-03-17,-0.9
2013-03-18,-2.1
2013-03-19,-5.7
2013-03-20,-4.3
2013-03-21,-2.4
2013-03-22,-5.7
2013-03-23,-6.5
2013-03-24,-3.4
2013-03-25,-1.4
2013-03-26,-1.4
2013-03-27,-2.1
2013-03-28,-3.1
2013-03-29,-0.6
2013-03-30,0.1
2013-03-31,-1.1
2013-04-01,0.9
2013-04-02,1
2013-04-03,1
2013-04-04,3.3
2013-04-05,3.5
2013-04-06,0.2
2013-04-07,1.8
2013-04-08,1.3
2013-04-09,0.5
2013-04-10,1.1
2013-04-11,1.3
2013-04-12,3.1
2013-04-13,3.7
2013-04-14,2.7
2013-04-15,6
2013-04-16,5.3
2013-04-17,8.5
2013-04-18,7
2013-04-19,6
2013-04-20,4.6
2013-04-21,4.4
2013-04-22,5.6
2013-04-23,9.3
2013-04-24,8.4
2013-04-25,7.9
2013-04-26,7.2
2013-04-27,7.6
2013-04-28,4.7
2013-04-29,6.6
2013-04-30,9
2013-05-01,6.3
2013-05-02,7.9
2013-05-03,5.7
2013-05-04,6.8
2013-05-05,9.8
2013-05-06,10.7
2013-05-07,13.3
2013-05-08,13.1
2013-05-09,11.5
2013-05-10,9.6
2013-05-11,10.5
2013-05-12,9.5
2013-05-13,8.1
2013-05-14,8.4
2013-05-15,9.3
2013-05-16,15.3
2013-05-17,18.4
2013-05-18,21
2013-05-19,21.2
2013-05-20,16.9
2013-05-21,15.2
2013-05-22,13.7
2013-05-23,10.3
2013-05-24,12.4
2013-05-25,16.6
2013-05-26,18.8
2013-05-27,14.5
2013-05-28,16.1
2013-05-29,18.2
2013-05-30,16.8
2013-05-31,19.7
2013-06-01,17.5
2013-06-02,16.8
2013-06-03,15.1
2013-06-04,12.6
2013-06-05,12.3
2013-06-06,12.3
2013-06-07,14.4
2013-06-08,16.4
2013-06-09,14.4
2013-06-10,16
2013-06-11,15.7
2013-06-12,13.5
2013-06-13,14.4
2013-06-14,16.7
2013-06-15,14.7
2013-06-16,13.1
2013-06-17,16.1
2013-06-18,17.1
2013-06-19,16.1
2013-06-20,17.7
2013-06-21,17.8
2013-06-22,16.3
2013-06-23,15.5
2013-06-24,15.5
2013-06-25,17.3
2013-06-26,14.2
2013-06-27,15.3
2013-06-28,15.5
2013-06-29,13.7
2013-06-30,16.1
2013-07-01,15.9
2013-07-02,15.1
2013-07-03,14.8
2013-07-04,15.2
2013-07-05,18
2013-07-06,17.9
2013-07-07,19.2
2013-07-08,17.5
2013-07-09,18.1
2013-07-10,17.9
2013-07-11,17.2
2013-07-12,19.3
2013-07-13,18.1
2013-07-14,17.9
2013-07-15,18
2013-07-16,17.7
2013-07-17,21.1
2013-07-18,21.2
2013-07-19,20.8
2013-07-20,20.7
2013-07-21,22
2013-07-22,18.7
2013-07-23,18.8
2013-07-24,20.2
2013-07-25,21.4
2013-07-26,20.6
2013-07-27,19.5
2013-07-28,19.4
2013-07-29,19.8
2013-07-30,16.3
2013-07-31,15.9
2013-08-01,17.7
2013-08-02,18.8
2013-08-03,18.5
2013-08-04,17.7
2013-08-05,17.7
2013-08-06,17.4
2013-08-07,19.5
2013-08-08,15.5
2013-08-09,17.2
2013-08-10,16.2
2013-08-11,16.8
2013-08-12,14.5
2013-08-13,14.9
2013-08-14,15.8
2013-08-15,16.4
2013-08-16,16.7
2013-08-17,18.1
2013-08-18,16.3
