Date,Close
2013-01-01,-3.5
2013-01-02,-3.4
2013-01-03,-2.4
2013-01-04,-1
2013-01-05,1.2
2013-01-06,3.3
2013-01-07,1.9
2013-01-08,0.5
2013-01-09,1.7
2013-01-10,1.4
2013-01-11,1.5
2013-01-12,2.2
2013-01-13,1.4
2013-01-14,0.5
2013-01-15,-3.9
2013-01-16,-1.5
2013-01-17,-0.3
2013-01-18,2.8
2013-01-19,-0.7
2013-01-20,-2.6
2013-01-21,1.1
2013-01-22,-3.4
2013-01-23,-3.7
2013-01-24,-3.1
2013-01-25,-5.1
2013-01-26,-5.1
2013-01-27,-7.7
2013-01-28,-6.3
2013-01-29,-6.2
2013-01-30,-3.3
2013-01-31,-2.5
2013-02-01,-4.6
2013-02-02,-2.9
2013-02-03,-6.9
2013-02-04,-7.3
2013-02-05,-1.2
2013-02-06,-4.8
2013-02-07,-5.5
2013-02-08,-3.2
2013-02-09,-1.8
2013-02-10,-2.3
2013-02-11,-5
2013-02-12,-3.3
2013-02-13,-1.6
2013-02-14,-1.5
2013-02-15,-3.9
2013-02-16,-3.4
2013-02-17,-4.3
2013-02-18,-5.7
2013-02-19,-4.8
2013-02-20,-0.1
2013-02-21,-1.6
2013-02-22,-1.5
2013-02-23,1.4
2013-02-24,2.2
2013-02-25,3
2013-02-26,0.5
2013-02-27,2
2013-02-28,0.3
2013-03-01,-4.9
2013-03-02,-4.6
2013-03-03,-6.3
2013-03-04,-5.6
2013-03-05,-6
2013-03-06,-5.4
2013-03-07,-5.7
2013-03-08,-6.4
2013-03-09,-5
2013-03-10,-3.9
2013-03-11,-7.1
2013-03-12,-7.3
2013-03-13,-6.5
2013-03-14,-5.9
2013-03-15,-5.6
2013-03-16,-3.1
2013-03-17,-1.3
2013-03-18,0.2
2013-03-19,-2.8
2013-03-20,-2.3
2013-03-21,-4
2013-03-22,-1.7
2013-03-23,-0.8
2013-03-24,-0.5
2013-03-25,-1.7
2013-03-26,-1
2013-03-27,-2.7
