Date,Close
2013-01-01,1.4
2013-01-02,2.4
2013-01-03,4.4
2013-01-04,3.7
2013-01-05,4.6
2013-01-06,4.5
2013-01-07,2
2013-01-08,3.9
2013-01-09,-0.6
2013-01-10,-2.8
2013-01-11,-6.6
2013-01-12,-7.7
2013-01-13,-9.3
2013-01-14,-10.9
2013-01-15,-10.7
2013-01-16,-8.2
2013-01-17,-8.6
2013-01-18,-8.1
2013-01-19,-5.4
2013-01-20,-4.6
2013-01-21,-8.5
2013-01-22,-11.8
2013-01-23,-5.8
2013-01-24,-4.7
2013-01-25,-5.6
2013-01-26,-1.5
2013-01-27,-1.9
2013-01-28,0.4
2013-01-29,-2.2
2013-01-30,0.9
2013-01-31,0.7
2013-02-01,-0.4
2013-02-02,1.8
2013-02-03,-3.2
2013-02-04,-4.2
2013-02-05,-2.6
2013-02-06,-2.3
2013-02-07,-6.6
2013-02-08,-13.5
2013-02-09,-16.2
2013-02-10,-9.6
2013-02-11,-4.5
2013-02-12,-4.2
2013-02-13,-3.8
2013-02-14,-1.8
2013-02-15,-1.2
2013-02-16,-1.5
2013-02-17,1.3
2013-02-18,0.7
2013-02-19,-5.1
2013-02-20,-4.8
2013-02-21,0.6
2013-02-22,2.5
2013-02-23,2.8
2013-02-24,3.2
2013-02-25,1.5
2013-02-26,4.2
2013-02-27,5.7
2013-02-28,3.8
2013-03-01,2.7
2013-03-02,2.6
2013-03-03,1
2013-03-04,3.9
2013-03-05,4.1
2013-03-06,1
2013-03-07,-1.3
2013-03-08,-4.3
2013-03-09,-7.4
2013-03-10,-6.8
2013-03-11,-1.1
2013-03-12,-3
2013-03-13,-7.3
2013-03-14,-7.2
2013-03-15,-4.1
2013-03-16,-3.8
2013-03-17,1.1
2013-03-18,-0.9
2013-03-19,-5.8
2013-03-20,-4.1
2013-03-21,-4.5
2013-03-22,-5.1
2013-03-23,-5.5
2013-03-24,-0.3
2013-03-25,1
2013-03-26,1.9
2013-03-27,0.7
2013-03-28,-0.6
2013-03-29,-2.4
2013-03-30,-1.9
2013-03-31,0.4
2013-04-01,2
2013-04-02,2.3
2013-04-03,3.9
2013-04-04,0.9
2013-04-05,-0.4
2013-04-06,-0.1
2013-04-07,0.6
2013-04-08,0.2
2013-04-09,0.5
2013-04-10,0.3
2013-04-11,1.4
2013-04-12,3.9
2013-04-13,3.7
2013-04-14,6.1
2013-04-15,11.1
2013-04-16,9.5
2013-04-17,8.1
2013-04-18,8
2013-04-19,4.5
2013-04-20,4.9
2013-04-21,8.1
2013-04-22,8.6
2013-04-23,8
2013-04-24,6.1
2013-04-25,5.3
2013-04-26,4.9
2013-04-27,3.9
2013-04-28,5.7
2013-04-29,7
2013-04-30,4
2013-05-01,6
2013-05-02,4.1
2013-05-03,3.5
2013-05-04,6
2013-05-05,8.1
2013-05-06,9.7
2013-05-07,8.5
2013-05-08,10.7
2013-05-09,11
2013-05-10,9.6
2013-05-11,11.5
2013-05-12,11
2013-05-13,11
2013-05-14,7.8
2013-05-15,11
2013-05-16,13.9
2013-05-17,18
2013-05-18,19.4
2013-05-19,19.3
2013-05-20,19.9
2013-05-21,15.4
2013-05-22,7.8
2013-05-23,12.3
2013-05-24,10.7
2013-05-25,8.8
